Set ID,Set Name,Set Code,Series,Language,Release Date,Total Cards,Total Value (Estimated),Average Card Value
517,Obsidian Flames,,Scarlet & Violet,ENGLISH,"Fri, 11 Aug 2023 00:00:00 GMT",406,294.37000000000035,0.7250492610837447
516,Ruler of the Black Flame,sv3,Scarlet & Violet,JAPANESE,"Fri, 28 Jul 2023 00:00:00 GMT",141,402.74823999611505,2.8563704964263477
530,McDonald's Promos 2023,,Scarlet & Violet,ENGLISH,"Thu, 27 Jul 2023 00:00:00 GMT",15,10.02,0.6679999999999999
514,Pokemon Card 151 Japanese,sv2a,Scarlet & Violet,JAPANESE,"Fri, 16 Jun 2023 00:00:00 GMT",516,3799.637596444156,7.363638752798751
513,Paldea Evolved,,Scarlet & Violet,ENGLISH,"Fri, 09 Jun 2023 00:00:00 GMT",455,1133.189999999999,2.49052747252747
511,Snow Hazard,sv2P,Scarlet & Violet,JAPANESE,"Fri, 14 Apr 2023 00:00:00 GMT",99,275.87223442760944,2.7865882265415096
512,Clay Burst,sv2D,Scarlet & Violet,JAPANESE,"Fri, 14 Apr 2023 00:00:00 GMT",99,653.2698727152475,6.598685582982299
510,Scarlet & Violet Base,,Scarlet & Violet,ENGLISH,"Fri, 31 Mar 2023 00:00:00 GMT",0,0.0,0.0
509,Triplet Beat,sv1a,Scarlet & Violet,JAPANESE,"Fri, 10 Mar 2023 00:00:00 GMT",103,434.5946172438673,4.2193652159598765
508,Violet ex,sv1V,Scarlet & Violet,JAPANESE,"Fri, 20 Jan 2023 00:00:00 GMT",108,367.5439485014986,3.4031847083472093
507,Scarlet ex,sv1S,Scarlet & Violet,JAPANESE,"Fri, 20 Jan 2023 00:00:00 GMT",108,389.15912163299674,3.6033252003055254
506,Crown Zenith,,Sword & Shield,ENGLISH,"Fri, 20 Jan 2023 00:00:00 GMT",342,1244.5899999999983,3.6391520467836207
515,Scarlet & Violet Promos,,Scarlet & Violet,ENGLISH,"Sun, 01 Jan 2023 00:00:00 GMT",0,0.0,0.0
505,VSTAR Universe,s12a,Sword & Shield,JAPANESE,"Fri, 02 Dec 2022 00:00:00 GMT",262,1327.3778817760938,5.066327793038526
537,SV-P Promos,PROMO,Scarlet & Violet,JAPANESE,"Fri, 18 Nov 2022 00:00:00 GMT",149,1564.726686447811,10.50152138555578
503,Silver Tempest,,Sword & Shield,ENGLISH,"Fri, 11 Nov 2022 00:00:00 GMT",387,844.1399999999995,2.181240310077518
502,Paradigm Trigger,s12,Sword & Shield,JAPANESE,"Fri, 21 Oct 2022 00:00:00 GMT",125,673.2390059523809,5.385912047619048
400,Lost Origin,,Sword & Shield,ENGLISH,"Fri, 09 Sep 2022 00:00:00 GMT",396,1212.2100000000005,3.061136363636365
401,Incandescent Arcana,s11a,Sword & Shield,JAPANESE,"Fri, 02 Sep 2022 00:00:00 GMT",94,354.4966547619049,3.7712410081053713
504,Trick or Trade 2022,,Sword & Shield,ENGLISH,"Thu, 01 Sep 2022 00:00:00 GMT",30,3.8100000000000005,0.12700000000000003
